Category,Id,Item,Description,Price,PriceType,ExtendedDescription
Base,base,Base Website Package,"Astro-built site with 3 static pages, basic contact form, and basic SEO.",400,one-time,""
Content,extra-pages,Additional Pages,"Extra static Astro pages beyond the included three.",75,per-unit,""
Content,extra-seo,Advanced SEO,"Expanded keyword research, schema markup, advanced on-page SEO.",150,scope-based,""
Content,cms,TinaCMS Content Collection,"CMS for managing a single content type (blog, portfolio, gallery, etc.). You can have multiple on a single site.",150,per-unit,""
E-Commerce,ecommerce,Snipcart Store Setup,"E-commerce with Snipcart + TinaCMS product management for easy updates.",500,one-time,""
E-Commerce,digital-ecommerce,Digital Product Setup,"Configuration for selling downloadable files.",50,per-unit,""
Advanced,backend,Django REST API Backend,"Custom backend for dynamic features, dashboards, or integrations.",500,one-time,""
Advanced,user-auth,Clerk Authentication,"User login/signup for members-only content or dashboards.",300,one-time,""
Advanced,interactive-features,Custom Interactive Features,"Calculators, booking systems, live search, etc.",200,scope-based,""
Advanced,complex-forms,Complex Forms & Workflows,"Multi-step forms, conditional logic, API integrations.",300,scope-based,""
Ongoing,hosting,Hosting Management,"We manage hosting, SSL renewals, domain registration, and deployments.",10,monthly,""
Ongoing,maintenance,Maintenance & Care Plan,"Security updates, small edits, analytics, and monthly health checks.",25,monthly,""
Ongoing,ecommerce-management,E-Commerce Management,"Ongoing store updates, promotions, and Snipcart support.",75,monthly,""
